teacher_id,course_id,course_name
T019,23ENG101,Technical Communication
T030,23ENG101,Technical Communication
T039,23ENG101,Technical Communication
T041,23ENG101,Technical Communication
T015,23ENG101,Technical Communication
T021,23ENG101,Technical Communication
T016,23MAT107,Calculus
T042,23MAT107,Calculus
T028,23MAT107,Calculus
T014,23MAT107,Calculus
T004,23MAT107,Calculus
T033,23MAT107,Calculus
T020,23CSE101,Computational Problem Solving
T038,23CSE101,Computational Problem Solving
T010,23CSE101,Computational Problem Solving
T012,23CSE101,Computational Problem Solving
T042,23CSE101,Computational Problem Solving
T025,23CSE101,Computational Problem Solving
T029,23EEE104,Introduction to Electrical and Electronics Engineering
T020,23EEE104,Introduction to Electrical and Electronics Engineering
T001,23EEE104,Introduction to Electrical and Electronics Engineering
T031,23EEE104,Introduction to Electrical and Electronics Engineering
T041,23EEE104,Introduction to Electrical and Electronics Engineering
T005,23EEE104,Introduction to Electrical and Electronics Engineering
T001,23EEE184,Basic Electrical and Electronics Engineering Practice
T018,23EEE184,Basic Electrical and Electronics Engineering Practice
T034,23EEE184,Basic Electrical and Electronics Engineering Practice
T008,23EEE184,Basic Electrical and Electronics Engineering Practice
T041,23EEE184,Basic Electrical and Electronics Engineering Practice
T026,23EEE184,Basic Electrical and Electronics Engineering Practice
T041,23CSE102,Computer Hardware Essentials
T035,23CSE102,Computer Hardware Essentials
T032,23CSE102,Computer Hardware Essentials
T028,23CSE102,Computer Hardware Essentials
T017,23CSE102,Computer Hardware Essentials
T003,23CSE102,Computer Hardware Essentials
T002,22ADM101,Foundations of Indian Heritage
T015,22ADM101,Foundations of Indian Heritage
T007,22ADM101,Foundations of Indian Heritage
T040,22ADM101,Foundations of Indian Heritage
T036,22ADM101,Foundations of Indian Heritage
T033,22ADM101,Foundations of Indian Heritage
T008,22AVP103,Mastery Over Mind
T001,22AVP103,Mastery Over Mind
T006,22AVP103,Mastery Over Mind
T025,22AVP103,Mastery Over Mind
T036,22AVP103,Mastery Over Mind
T037,22AVP103,Mastery Over Mind
T031,23MAT206,Optimization Techniques
T014,23MAT206,Optimization Techniques
T034,23MAT206,Optimization Techniques
T032,23MAT206,Optimization Techniques
T043,23MAT206,Optimization Techniques
T017,23MAT206,Optimization Techniques
T003,23CSE205,Digital Electronics
T001,23CSE205,Digital Electronics
T010,23CSE205,Digital Electronics
T031,23CSE205,Digital Electronics
T033,23CSE205,Digital Electronics
T013,23CSE205,Digital Electronics
T006,23CSE201,Procedural Programming using C
T004,23CSE201,Procedural Programming using C
T011,23CSE201,Procedural Programming using C
T019,23CSE201,Procedural Programming using C
T040,23CSE201,Procedural Programming using C
T036,23CSE201,Procedural Programming using C
T005,23CSE202,Database Management Systems
T034,23CSE202,Database Management Systems
T019,23CSE202,Database Management Systems
T006,23CSE202,Database Management Systems
T007,23CSE202,Database Management Systems
